country,total,density,paved_km,paved_km_2,unpaved_km,unpaved_km_2,controlled_access_km,controlled_access_km_2,source_year,iso3c,gdp_pc,pop,continent
São Tomé and Príncipe,1300,135,230,18,1070,82,NA,NA,2018,STP,1950.62935180937,211344,Africa
U.S. Virgin Islands,1260,363,0,0,1260,100,NA,NA,2008,VIR,39152.3750657306,108397,Americas
Saint Lucia,1210,224,847,70,363,30,NA,NA,2011,LCA,9160.81447272594,172145,Americas
Antigua and Barbuda,1170,265,386,33,784,67,NA,NA,2011,ATG,13117.1469408968,86729,Americas
Samoa,1150,40,0,0,1150,100,NA,NA,2018,WSM,4188.98853207466,209701,Oceania
Grenada,1127,328,902,80,225,20,NA,NA,2017,GRD,9309.23066697663,120921,Americas
Isle of Man,1107,571,500,100,0,0,NA,NA,2008,IMN,72300.4616739924,81997,Europe
Vanuatu,1070,9,256,24,814,76,NA,NA,2000,VUT,1416.19736690445,192074,Oceania
Guam,1045,190,0,0,1045,100,NA,NA,2008,GUM,28277.432083776,164725,Oceania
Faroe Islands,960,69,500,52,460,48,NA,NA,2017,FRO,59328.1747680852,50230,Europe
Comoros,880,39,673,76,207,24,NA,NA,2002,COM,761.947917471455,559047,Africa
Cayman Islands,785,297,785,100,0,0,NA,NA,2007,CYM,89963.9224435374,49647,Americas
Tonga,680,91,184,27,496,73,NA,NA,2011,TON,3852.05405080641,107611,Oceania
Kiribati,670,92,0,0,670,100,NA,NA,2017,KIR,1563.55045683718,120362,Oceania
Liechtenstein,630,394,0,0,630,100,NA,NA,2019,LIE,167019.618092859,38482,Europe
Jersey,576,497,0,0,576,100,NA,NA,2010,JEY,NA,NA,Europe
Curaçao,550,124,0,0,550,100,NA,NA,NA,CUW,NA,NA,Americas
Northern Mariana Islands,536,117,0,0,536,100,NA,NA,2008,MNP,15641.657782516,60032,Oceania
Seychelles,526,115,514,98,12,2,NA,NA,2015,SYC,15157.5302874866,93419,Africa
Bermuda,447,843,447,100,225,50,NA,NA,2010,BMU,101875.28407346,65124,Americas
Falkland Islands,440,4,50,11,390,89,NA,NA,2008,FLK,NA,NA,Americas
Macau,428,1427,428,100,0,0,NA,NA,2017,MAC,78985.6421357971,638609,Asia
Saint Kitts and Nevis,383,147,163,43,220,57,NA,NA,2002,KNA,10398.5252825083,46264,Americas
Andorra,320,68,0,0,320,100,NA,NA,2019,AND,41327.5020305489,76343,Europe
Cook Islands,295,125,207,70,88,30,NA,NA,2018,COK,NA,NA,Oceania
San Marino,292,479,292,100,0,0,NA,NA,2006,SMR,63692.6167681957,29959,Europe
American Samoa,241,121,0,0,241,100,NA,NA,2016,ASM,13300.8246114811,50448,Oceania
Niue,234,90,0,0,234,100,NA,NA,2017,NIU,NA,NA,Oceania
British Virgin Islands,200,132,0,0,200,100,NA,NA,2007,VGB,NA,25191,Americas
Saint Helena,198,162,0,0,198,100,NA,NA,2002,SHN,NA,NA,Africa
Anguilla,175,192,0,0,175,100,NA,NA,2004,AIA,NA,NA,Americas
Christmas Island,140,NA,0,0,140,100,NA,NA,2011,CXR,NA,NA,Oceania
Turks and Caicos Islands,121,13,0,0,121,100,NA,NA,2003,TCA,18848.7786926722,21739,Americas
Saint Pierre and Miquelon,117,48,0,0,117,100,NA,NA,2009,SPM,NA,NA,Americas
Maldives,93,31,0,0,93,100,NA,NA,2018,MDV,10823.636693042,489758,Asia
Norfolk Island,80,222,0,0,80,100,NA,NA,2008,NFK,NA,NA,Oceania
Sint Maarten,53,NA,0,0,53,100,NA,NA,NA,SXM,NA,NA,Americas
Nauru,30,143,24,80,30,NA,NA,NA,2002,NRU,NA,10351,Oceania
Gibraltar,29,483,0,0,29,100,NA,NA,2007,GIB,NA,29996,Europe
Cocos (Keeling) Islands,22,NA,0,0,22,100,NA,NA,2007,CCK,NA,NA,NA
Tuvalu,8,31,0,0,8,100,NA,NA,2011,TUV,3663.12725029281,10700,Oceania
