branch_code,bic_code_swift,bank_name,bank_branch,bank_branch_address,city,bank_phone,bank_fax
142849,NEDSZAJJ,NEDBANK LIMITED,TZANEEN CROSSING,"TZANEEN CROSSING, GROUND FLOOR , 54 PEACE, TZANEEN",,"(015 ), 306-6180","(015 ), 306-6184/85"
101259,NEDSZAJJ,NEDBANK LIMITED,TZANEEN CSC,"GROUND FLOOR, TZANEEN CROSSING,, 54 PEACE STREET, TZANEEN",LIMPOPO,015 306-6180,015 306-6184
101040,NEDSZAJJ,NEDBANK LIMITED,TZANEEN G4S,"NEDHILL OFFICE PARK, 665 DUNCAN STREET, HATFIELD",PRETORIA,"(012 ), 3662017","(012 ), 0114958345"
100960,NEDSZAJJ,NEDBANK LIMITED,TZANEEN PCCH,"NEDBANK PARK 1, 6 PRESS AVENUE CROWNMINES, SELBU EXT 15","JOHANNESBURG, GAUTENG","(011), 495-8748","(011), 495-8345"
101289,NEDSZAJJ,NEDBANK LIMITED,UITENHAGE,"SHOP C2A, UITEHAGE MALL, CNR DURBAN, & MARKET STREETS, UITENHAGE",EASTERN CAPE,041 994-9400,041 994-9421
127716,NEDSZAJJ,NEDBANK LIMITED,UITENHAGE,"NEDBANK CENTRE 70 CALEDON STRE, ,",,"(041 ), 995-2300","(041 ), 995-2301"
101279,NEDSZAJJ,NEDBANK LIMITED,ULUNDI,"ONDINI PLAZA, SHOP B2A,, PRINCE MKABAYI STREET, ULUNDI",KWAZULU NATAL,035 870-8500,035 870-8520
135329,NEDSZAJJ,NEDBANK LIMITED,UMHLANGA ROCKS KZN,"SHOP F244, GATEWAY SHOPPING CENTRE, , UMHLANGA ROCKS",KWA-ZULU NATAL,031 566-7200,031 566-7216
182905,NEDSZAJJ,NEDBANK LIMITED,UMLAZI,"SHOP S 2 UMLAZI MEGA CITY, 50 MANGOSUTHU HIGHWAY, UMLAZI",,"(031 ), 910-9700","(031 ), 910-9709"
141642,NEDSZAJJ,NEDBANK LIMITED,UMTATA PCCH,"CNR STARK/BARFOOT ROAD ESTERA, WADEVILLE 1401,",,047 531-2054,011 874-7996
100994,NEDSZAJJ,NEDBANK LIMITED,UMZIMKHULU,"SHOP 35 CNR BIRD STREET & MAIN ROAD, , UMZIMKHULU",KZN,039 259-5400,039 259-5408
124530,NEDSZAJJ,NEDBANK LIMITED,UNIVERSITY CAPE TOWN,"3RD LEVEL ROBERT LESLIE SOCIAL SCIENCE BUILDING, LIBRARY ROAD UPPER CAMPUS UNIVERSITY OF CAPE T.,",WESTERN CAPE,"(021), 658-4160","(021), 658-4171"
153005,NEDSZAJJ,NEDBANK LIMITED,UNIVERSITY OF JOHANNESBURG,"UNIVERSITY OF JOHANNESBURG, STUDENT CENTRE AKEDEMIE ROAD, AUCKLAND PARK, JOHANNESBURG",GAUTENG,"(011 ), 694-3240/2","(011 ), 694-3243"
119345,NEDSZAJJ,NEDBANK LIMITED,UNIVERSITY OF PRETORIA,"STUDENT CNTR SASOL CAFETERIA CNR FESTIVAL &, PROSPECT ROAD HATFIELD, PRETORIA",PRETORIA,"(012 ), 362-9780/2","(012 ), 362-9788"
119210,NEDSZAJJ,NEDBANK LIMITED,UNIVERSITY OF STELLENBOSCH,"LOWER GROUND , LANGENHOVEN STUDENT CENTRE, DE BEER STREET, STELLENBOSCH",WESTERN CAPE,"(021 ), 809-6240","(021 ), 809-6241"
157205,NEDSZAJJ,NEDBANK LIMITED,UPINGTON,"21 SCHRODER STREET, , UPINGTON",,"(054), 338-4400","(054), 338-4437/8"
